Date,Open,High,Low,Close,Volume
2017-06-05,1605.55,1627.86,1592.24,1623.11,2587257
2017-06-06,1620.74,1623.57,1607.43,1608.86,1903079
2017-06-07,1599.85,1600.79,1587.98,1594.14,2203987
2017-06-08,1598.88,1606.0,1589.41,1590.81,1580895
2017-06-09,1586.54,1592.72,1581.31,1582.74,2732918
2017-06-12,1590.36,1607.43,1589.87,1606.97,2166385
2017-06-13,1604.58,1622.14,1600.79,1618.35,1718975
2017-06-14,1612.67,1622.63,1605.55,1610.76,2494677
2017-06-15,1610.29,1632.12,1609.81,1629.27,2337009
2017-06-16,1633.09,1642.57,1631.18,1638.29,2836872
2017-06-19,1630.24,1646.84,1626.91,1645.89,2165755
2017-06-20,1648.73,1665.34,1647.31,1649.22,3396242
2017-06-21,1651.12,1651.58,1637.34,1639.23,2101823
2017-06-22,1639.71,1640.67,1622.63,1624.52,2004926
2017-06-23,1625.48,1626.43,1612.18,1622.14,1451980
2017-06-26,1623.57,1633.54,1621.2,1621.2,1660731
2017-06-27,1633.09,1636.39,1622.63,1625.01,1173613
2017-06-28,1625.01,1628.81,1621.2,1623.57,1552563
2017-06-29,1633.54,1634.01,1623.57,1627.38,1617128
2017-06-30,1614.08,1620.74,1610.29,1620.74,2706903
2017-07-03,1623.11,1624.06,1613.14,1617.88,1732141
2017-07-04,1625.48,1632.12,1614.08,1617.88,1541295
2017-07-05,1617.88,1618.35,1599.85,1609.81,2010509
2017-07-06,1639.71,1659.19,1631.65,1649.22,4496127
2017-07-07,1639.71,1659.19,1637.34,1646.37,3330732
2017-07-10,1647.8,1649.22,1630.24,1631.18,2425480
2017-07-11,1628.33,1639.23,1616.45,1631.65,2342908
2017-07-12,1630.24,1636.88,1627.86,1634.96,1579842
2017-07-13,1636.88,1648.73,1630.24,1630.24,1640194
2017-07-14,1636.39,1638.78,1632.12,1634.96,1396265
2017-07-18,1634.01,1637.82,1612.18,1615.04,2262440
2017-07-19,1614.56,1618.83,1606.97,1617.41,1424808
2017-07-20,1618.83,1628.81,1615.97,1626.43,1334651
2017-07-21,1621.2,1625.95,1617.41,1622.63,1387945
